"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.568650875E0,1.793570251E0,-8.214916992E0,1.422791290E0,8.527959339E0
2.578730875E0,3.660637665E0,-8.193960571E0,8.878038025E-1,9.018284402E0
2.588811875E0,3.672612762E0,-9.157656555E0,1.053509216E0,9.922733482E0
2.598891875E0,2.408491516E0,-9.372160492E0,1.318458252E0,9.766092147E0
2.608972875E0,3.295995941E0,-9.135352936E0,1.030008087E0,9.766226455E0
2.619052875E0,3.016377411E0,-9.066496124E0,8.186476135E-1,9.590102636E0
2.629132875E0,3.533402252E0,-9.305249634E0,7.908055115E-1,9.984887359E0
2.639213875E0,2.994373169E0,-9.368717651E0,1.190474396E0,9.907389686E0
2.649293875E0,2.851420441E0,-8.808432770E0,1.407223663E0,9.364793902E0
2.659374875E0,4.353097687E0,-9.424701233E0,9.671388245E-1,1.042639968E1
2.669454875E0,3.356919250E0,-9.860894165E0,9.779164124E-1,1.046243094E1
2.679534875E0,2.749183044E0,-9.803563385E0,1.070124664E0,1.023782346E1
2.689615875E0,2.687960358E0,-9.060508575E0,1.350641327E0,9.546841285E0
2.699695875E0,4.000880127E0,-9.129365387E0,1.171613617E0,1.003618616E1
2.709775875E0,2.814597015E0,-9.500443726E0,8.187973022E-1,9.942374785E0
2.719856875E0,2.985840912E0,-8.888516235E0,1.214424591E0,9.454934897E0
2.729936875E0,4.426445160E0,-9.364526367E0,1.017883301E0,1.040787477E1
2.740017875E0,2.836750946E0,-8.722511444E0,1.143472137E0,9.243207796E0
2.750097875E0,3.652853851E0,-8.863967285E0,1.129850464E0,9.653487420E0
2.760177875E0,2.975662079E0,-8.372988281E0,1.237626343E0,8.971801186E0
2.770258875E0,3.977229309E0,-1.018766464E1,5.131329346E-1,1.094852361E1
2.780338875E0,2.127974854E0,-1.141556122E1,9.475296021E-1,1.165079943E1
2.790418875E0,-8.095166016E-1,-7.846083984E0,2.242786102E0,8.200392705E0
2.800499875E0,3.993395691E0,-7.302863617E0,1.519789581E0,8.461015691E0
2.810579875E0,4.985233154E0,-1.065199905E1,2.897973633E-1,1.176442162E1
2.820659875E0,2.047142944E0,-1.311692322E1,1.197509766E-3,1.327570979E1
2.830740875E0,4.425996094E0,-1.403197037E1,8.918453979E-1,1.474045529E1
2.840820875E0,6.252497864E0,-1.515478546E1,1.056952057E0,1.642797613E1
2.850901875E0,4.531526642E0,-1.393961243E1,1.269060974E0,1.471251318E1
2.860981875E0,2.251468048E0,-1.115046249E1,1.117575989E0,1.143026239E1
2.871061875E0,-1.387464752E0,-6.013145599E0,1.434766388E0,6.335734608E0
2.881142875E0,-3.228336639E0,-5.318440247E-1,2.069745941E0,3.871545400E0
2.891222875E0,-2.829715576E0,3.973187714E0,3.440595245E0,5.969188093E0
2.901302875E0,1.812730408E-1,3.893253937E0,5.240751801E0,6.531138152E0
2.911383875E0,1.550026703E0,5.288502502E-1,-1.139131165E-1,1.641719088E0
2.921463875E0,3.968996429E0,-5.031187592E0,-3.781436462E0,7.440768976E0
2.931544875E0,4.329446869E0,-9.107810211E0,-2.700983276E0,1.043990554E1
2.941624875E0,2.624492340E0,-1.182436111E1,-7.517367554E-1,1.213542681E1
2.951704875E0,2.249073029E0,-1.457354416E1,7.604187012E-2,1.474626397E1
2.961785875E0,2.677631836E0,-1.683309540E1,7.933502197E-2,1.704491440E1
2.971865875E0,3.255430298E0,-1.826471832E1,1.625020752E0,1.862359939E1
2.981945875E0,3.733386383E0,-1.817206100E1,2.879561920E0,1.877375434E1
2.992026875E0,2.296524353E0,-1.429048279E1,2.610421600E0,1.470735270E1
3.002106875E0,2.046843567E0,-8.766370239E0,1.229992218E0,9.085796422E0
3.012187875E0,3.425925751E0,-6.831344147E0,-2.133064270E-1,7.645242294E0
3.022267875E0,3.093317413E0,-6.821315002E0,-4.432283020E-1,7.503026210E0
3.032347875E0,2.325264587E0,-7.850424957E0,9.610015869E-2,8.188117162E0
3.042428875E0,2.267335052E0,-9.673483887E0,3.719764709E-1,9.942608573E0
3.052508875E0,2.196083221E0,-1.050530411E1,5.275030518E-1,1.074534575E1
3.062588875E0,1.954036560E0,-1.045171555E1,6.150709534E-1,1.065058351E1
3.072669875E0,1.927990723E0,-9.996961212E0,8.526269531E-1,1.021681724E1
3.082749875E0,1.958377533E0,-9.767338715E0,9.795629883E-1,1.000977981E1
3.092830875E0,1.898052979E0,-9.627978516E0,1.080004120E0,9.872536873E0
3.102910875E0,1.946252747E0,-9.417965240E0,1.107397156E0,9.680511220E0
3.112990875E0,1.952839050E0,-9.190139008E0,1.079854431E0,9.457183562E0
3.123071875E0,1.616787872E0,-9.188043365E0,6.999444580E-1,9.355429769E0
3.133151875E0,1.412013702E0,-9.458979950E0,2.260299683E-1,9.566460889E0
3.143231875E0,1.475481720E0,-9.709858246E0,2.718347168E-1,9.825084609E0
3.153312875E0,1.626068573E0,-9.962532806E0,4.285588074E-1,1.010345592E1
3.163392875E0,1.977837067E0,-1.019440063E1,4.818479919E-1,1.039566358E1
3.173473875E0,2.500101013E0,-1.022837997E1,6.483018494E-1,1.054943398E1
3.183553875E0,2.859054565E0,-9.958191833E0,9.150471497E-1,1.040082155E1
3.193633875E0,2.988535309E0,-9.599537659E0,1.077908478E0,1.011159499E1
3.203714875E0,2.816093903E0,-9.407786407E0,9.870474243E-1,9.869705800E0
3.213794875E0,2.489772491E0,-9.410480804E0,7.400610352E-1,9.762366842E0
3.223874875E0,2.213596802E0,-9.599238281E0,4.870870972E-1,9.863196248E0
3.233955875E0,1.939516754E0,-9.880204010E0,1.704954529E-1,1.007021476E1
