"t","a_x","a_y","a_z","a_abs"
2.339258208E0,-6.426136780E-1,-7.538323975E-1,-8.991801453E-1,1.337811854E0
2.349337208E0,-3.183879089E-1,-3.779640198E-1,-1.077160034E0,1.185116619E0
2.359417208E0,1.257385254E-2,9.595046997E-2,-1.192420349E0,1.196340622E0
2.369496208E0,-8.427474976E-2,4.558021545E-1,-1.158890076E0,1.248152252E0
2.379575208E0,-8.547225952E-2,1.117875366E0,-8.279283142E-1,1.393705900E0
2.389655208E0,1.637594604E-1,1.780996399E0,-4.936734009E-1,1.855391808E0
2.399734208E0,2.754272461E-1,2.507585449E0,-3.845503235E-1,2.551807968E0
2.409813208E0,6.242019653E-2,3.245700531E0,-4.550537109E-1,3.278039368E0
2.419893208E0,-6.900650024E-2,4.069736938E0,-5.725593567E-1,4.110394733E0
2.429972208E0,-1.305285645E-1,5.358407135E0,-1.031804352E0,5.458404982E0
2.440051208E0,-3.311114502E-1,7.164102173E0,-1.360371094E0,7.299630419E0
2.450130208E0,-4.224215698E-1,1.018946091E1,-1.888173523E0,1.037153570E1
2.460210208E0,-3.321592712E-1,1.404170013E1,-3.510200500E0,1.447760961E1
2.470289208E0,-6.445596313E-1,1.885524033E1,-5.450615387E0,1.963783982E1
2.480368208E0,-9.933343506E-1,2.465642670E1,-6.863078156E0,2.561304223E1
2.490448208E0,-1.413660278E0,3.109753235E1,-5.601651306E0,3.162962932E1
2.500527208E0,-1.603166199E0,3.714944733E1,-1.217568054E0,3.720395208E1
2.510606208E0,-1.050665131E0,4.015265213E1,4.474495239E0,4.041485467E1
2.520686208E0,5.632786560E-1,3.862672531E1,6.582262115E0,3.918759199E1
2.530765208E0,3.148851929E0,3.596570892E1,9.391470337E-1,3.611550199E1
2.540844208E0,3.452720032E0,3.447705460E1,-1.239572296E0,3.467167589E1
2.550923208E0,1.146166534E0,3.331726639E1,2.296973419E0,3.341601449E1
2.561003208E0,-4.549040222E-1,3.160392929E1,5.999224548E0,3.217150882E1
2.571082208E0,-7.617658997E-1,2.806289291E1,5.807622986E0,2.866766001E1
2.581161208E0,-2.673440552E-1,2.343047607E1,1.996099091E0,2.351686828E1
2.591241208E0,-2.824626160E-1,1.831920502E1,-7.638615417E-1,1.833729920E1
2.601320208E0,-6.451583862E-1,1.301229080E1,-1.808539124E0,1.315320322E1
2.611399208E0,-7.750881958E-1,7.949219513E0,-2.868934021E0,8.486556133E0
2.621479208E0,-4.954696655E-1,3.404220886E0,-3.096460876E0,4.628420896E0
2.631558208E0,-1.465452576E-1,-1.249900818E-1,-2.020498352E0,2.029658007E0
2.641637208E0,-3.308120728E-1,-2.943479004E0,-6.062393188E-1,3.023413863E0
2.651716208E0,5.189707947E-1,-5.135071564E0,-9.842033386E-1,5.254231329E0
2.661796208E0,1.407822418E0,-6.205196228E0,-2.354603577E0,6.784584158E0
2.671875208E0,1.302291870E0,-6.308930511E0,-3.116219788E0,7.156073929E0
2.681954208E0,5.233117676E-1,-5.316643982E0,-2.408042450E0,5.859968164E0
2.692034208E0,-8.337661743E-2,-3.542682953E0,-6.001020813E-1,3.594116953E0
2.702113208E0,-3.674858093E-1,-1.752555542E0,1.663041687E0,2.443809403E0
2.712192208E0,-2.603086853E-1,7.664062500E-2,3.726201324E0,3.736068884E0
2.722272208E0,8.921447754E-2,1.337169342E0,4.978347473E0,5.155572193E0
2.732351208E0,2.975811768E-1,1.714684296E0,5.101541290E0,5.390215239E0
2.742430208E0,2.668949890E-1,1.262474670E0,3.802991638E0,4.015945795E0
2.752509208E0,-6.286926270E-2,2.028282166E-1,2.059267731E0,2.070187290E0
2.762589208E0,-3.112028503E-1,-7.455995178E-1,5.766009521E-1,9.925898010E-1
2.772668208E0,-3.622467041E-1,-1.315015411E0,-7.592211914E-1,1.561058943E0
2.782747208E0,-4.231700134E-1,-1.667831726E0,-1.793270874E0,2.485267783E0
2.792827208E0,-3.357518005E-1,-1.795965271E0,-2.345771942E0,2.973359469E0
2.802906208E0,-1.612147522E-1,-1.532962189E0,-2.432441711E0,2.879711088E0
2.812985208E0,1.477427673E-1,-9.601034546E-1,-2.327210541E0,2.521811942E0
2.823065208E0,5.029541016E-1,-2.838098145E-1,-2.110161896E0,2.187760057E0
2.833144208E0,5.057981873E-1,6.167175293E-1,-1.694775696E0,1.873082213E0
2.843223208E0,2.731819153E-1,1.664837952E0,-1.019380188E0,1.971154416E0
2.853302208E0,-6.032455444E-2,2.752925262E0,-3.962260437E-1,2.781947453E0
2.863382208E0,-3.126997375E-1,3.950135651E0,2.655477905E-1,3.971381172E0
2.873461208E0,-4.230203247E-1,5.368735657E0,7.613168335E-1,5.438921958E0
2.883540208E0,-3.772155762E-1,7.036567383E0,5.641767883E-1,7.069219729E0
2.893620208E0,-5.285508728E-1,9.039701843E0,-7.176077271E-1,9.083531047E0
2.903699208E0,-6.168672180E-1,1.147109573E1,-2.149380341E0,1.168701837E1
2.913778208E0,-6.741979980E-1,1.477607300E1,-4.307442627E0,1.540587350E1
2.923858208E0,-8.882528687E-1,1.927347061E1,-6.040388947E0,2.021736781E1
2.933937208E0,-1.222956848E0,2.510070282E1,-6.228547668E0,2.589084223E1
2.944016667E0,-1.692380676E0,3.171963867E1,-4.013753357E0,3.201733664E1
2.954095667E0,-1.668280792E0,3.663751190E1,-2.538720703E-1,3.667635328E1
2.964175667E0,-7.640112305E-1,3.805027405E1,3.025209045E0,3.817799049E1
2.974254667E0,9.511221313E-1,3.575569565E1,2.827170868E0,3.587990105E1
2.984333667E0,2.581831055E0,3.427362762E1,-1.367855530E0,3.439794225E1
2.994413667E0,3.114573212E0,3.416465424E1,-1.674717407E0,3.434718102E1
3.004492667E0,2.017504578E0,3.430745728E1,3.037034454E0,3.450065982E1
3.014571667E0,1.401385803E0,3.299214249E1,7.730374603E0,3.391465818E1
3.024651667E0,1.808688812E0,2.950125183E1,7.235503693E0,3.042938922E1
3.034730667E0,2.203567657E0,2.435420517E1,1.692680054E0,2.451220483E1
