"t","a_x","a_y","a_z","a_abs"
1.596732588E1,4.318818970E0,2.133064270E0,4.706213379E-1,4.839798024E0
1.597740587E1,4.713099060E0,1.592987366E0,6.168672180E-1,5.013126436E0
1.598748588E1,4.774920502E0,2.505789185E-1,2.434986420E0,5.365800449E0
1.599756588E1,2.414329376E0,-3.165766754E0,6.290668488E0,7.444701169E0
1.600764588E1,-2.008972321E0,-7.894732819E0,7.248825989E0,1.090450615E1
1.601772588E1,-1.009440857E1,-1.463761093E1,2.912044373E0,1.801767856E1
1.602780587E1,-1.732227814E1,-2.843846191E1,4.618645477E0,3.361754485E1
1.603788588E1,-1.615395767E1,-5.371789307E1,1.848176697E1,5.906046134E1
1.604796588E1,-1.167796555E1,-7.709852280E1,1.557256668E1,7.951768313E1
1.605804587E1,-9.762848053E0,-7.869151016E1,6.120023346E0,7.953063347E1
1.606812488E1,-8.702303467E0,-6.562413391E1,-4.495152283E-1,6.620014427E1
1.607820487E1,-4.461622009E0,-3.787334198E1,-4.446653137E0,3.839360400E1
1.608828488E1,9.984237671E-1,-2.340877121E1,-2.463876343E-1,2.343134922E1
1.609836488E1,4.844974823E0,-1.561672485E1,5.779930573E0,1.734253366E1
1.610844487E1,6.276148682E0,-1.151749924E1,6.616091766E0,1.469066034E1
1.611852488E1,4.032913513E0,-9.651629333E0,4.460125122E0,1.137150194E1
1.612860488E1,1.124162292E-1,-8.547375641E0,1.769769745E0,8.729395896E0
1.613868488E1,-2.617157593E0,-6.994654541E0,6.086343384E-1,7.493006191E0
1.614876488E1,-3.415597229E0,-4.836592255E0,5.501060486E-1,5.946557469E0
1.615884487E1,-3.414100342E0,-1.878593445E0,3.573069763E-1,3.913165311E0
1.616892488E1,-3.524570618E0,2.660717010E0,-9.437873840E-1,4.515832999E0
1.617900488E1,-2.819237366E0,6.214027863E0,-1.043480072E0,6.902977058E0
1.618908500E1,-1.796414337E0,8.109685822E0,2.565664673E-1,8.310230740E0
1.619916500E1,-1.522933044E0,8.157436523E0,1.923949127E0,8.518490238E0
1.620924500E1,-1.876348114E0,6.839427338E0,3.154091034E0,7.761877273E0
1.621932500E1,-2.244582367E0,6.363566895E0,2.703827362E0,7.269375216E0
1.622940500E1,-1.626667328E0,7.075187073E0,5.733078003E-1,7.282376023E0
1.623948500E1,-2.239343262E-1,6.838080139E0,-8.854087830E-1,6.898799554E0
1.624956500E1,9.797126770E-1,5.964646454E0,-4.939727783E-1,6.064722034E0
1.625964500E1,1.257534943E0,3.939058685E0,7.512876892E-1,4.202619499E0
1.626972500E1,-2.041754150E-1,8.457412720E-1,5.399272156E-1,1.023956687E0
1.627980500E1,-1.621428223E0,-1.433868256E0,-3.207829285E-1,2.188129188E0
1.628988500E1,-2.502346344E0,-2.745889893E0,-8.557704163E-1,3.812347247E0
1.629996500E1,-3.120261383E0,-3.694766693E0,-1.191971283E0,4.980775798E0
1.631004500E1,-2.722987518E0,-4.188589783E0,-1.698517914E0,5.276732748E0
1.632012500E1,-1.035247192E0,-3.836970978E0,-1.781445465E0,4.355184379E0
1.633020400E1,1.265019379E0,-1.897454224E0,-1.462907867E0,2.709373726E0
1.634028400E1,2.921774139E0,2.694396973E-2,-8.708889771E-1,3.048924025E0
1.635036400E1,3.429817657E0,8.653504944E-1,-4.013154602E-1,3.559990834E0
1.636044400E1,3.313359833E0,1.242566071E0,-1.149609375E-1,3.540556431E0
1.637052400E1,3.201841736E0,1.308429108E0,1.904040527E-1,3.464106080E0
1.638060400E1,3.294499054E0,1.204245758E0,4.574487305E-1,3.537398932E0
1.639068400E1,3.304677887E0,1.109642487E0,8.150550842E-1,3.580016365E0
1.640076400E1,2.933749237E0,9.551637268E-1,9.038204956E-1,3.214982709E0
1.641084400E1,2.057920532E0,5.372328186E-1,7.039860535E-1,2.240368805E0
1.642092400E1,9.237290955E-1,-6.414161682E-1,8.671467590E-1,1.420082267E0
1.643100400E1,2.365081787E-1,-2.799328766E0,1.973645782E0,3.433286375E0
1.644108400E1,-6.801855469E-1,-5.299130402E0,4.608466644E0,7.055593540E0
1.645116400E1,-2.187101898E0,-8.401279449E0,4.820126495E0,9.929679276E0
1.646124400E1,-6.038442993E0,-1.384545822E1,2.714305573E0,1.534688769E1
1.647132400E1,-1.167916306E1,-2.632051620E1,9.103918304E0,3.020022767E1
1.648140400E1,-1.112815887E1,-4.757436859E1,1.657533142E1,5.159358563E1
1.649148400E1,-4.016747131E0,-7.158159531E1,1.650827087E1,7.357025249E1
1.650156400E1,-6.022575989E0,-7.910674667E1,9.896669769E0,7.995056512E1
1.651164400E1,-1.007973907E1,-7.097041626E1,2.499801636E0,7.172621649E1
1.652172400E1,-5.670059052E0,-4.305691269E1,-2.435285797E0,4.349687250E1
1.653180400E1,-6.646179199E-2,-2.568748260E1,-1.899549866E0,2.575770699E1
1.654188400E1,2.696342926E0,-1.697904190E1,4.126319275E0,1.768006334E1
1.655196400E1,3.045716400E0,-1.228435455E1,6.387966156E0,1.417701897E1
1.656204400E1,1.998494110E0,-1.080198715E1,4.555327148E0,1.189234672E1
1.657212400E1,-1.683998108E-1,-1.037312897E1,2.822680206E0,1.075163646E1
1.658220400E1,-1.750310211E0,-9.246571655E0,2.298769684E0,9.687466917E0
1.659228400E1,-2.309547272E0,-7.425308990E0,2.144290924E0,8.066424597E0
1.660236400E1,-2.792892151E0,-4.993466034E0,1.285227356E0,5.864022421E0
1.661244400E1,-3.548670502E0,-1.417552185E0,-7.710466003E-1,3.898336746E0
1.662252300E1,-4.356839905E0,3.654949493E0,-2.127675476E0,6.071878843E0
1.663260300E1,-3.667822723E0,7.101083221E0,-6.953041077E-1,8.022577781E0
1.664268300E1,-2.386487274E0,8.145611115E0,1.126257935E0,8.562403802E0
1.665276300E1,-1.752256165E0,7.333699493E0,2.485880585E0,7.939342051E0
1.666284300E1,-1.480271759E0,6.083798676E0,2.720742188E0,6.826876947E0
1.667292300E1,-8.863069153E-1,5.751340027E0,1.110390930E0,5.924223162E0
1.668300300E1,1.770817566E-1,5.873486023E0,-5.072950745E-1,5.898011894E0
1.669308300E1,5.236111450E-1,5.637875977E0,-1.290316772E-1,5.663608685E0
1.670316300E1,3.397933960E-1,5.315745850E0,8.159532166E-1,5.388728342E0
1.671324300E1,-5.037025452E-1,4.231400757E0,4.908293152E-1,4.289450085E0
1.672332300E1,-1.514400787E0,1.255588989E0,-6.750961304E-1,2.079824089E0
1.673340300E1,-2.066153412E0,-1.321302338E0,-1.322200470E0,2.786223945E0
1.674348300E1,-2.427202606E0,-2.474354553E0,-1.308878174E0,3.704983808E0
1.675356300E1,-2.236798553E0,-3.169209595E0,-9.348060608E-1,3.990115236E0
1.676364300E1,-1.128203888E0,-3.415896606E0,-8.580157471E-1,3.698294832E0
1.677372300E1,8.416996765E-1,-2.399210815E0,-9.092092896E-1,2.700246732E0
1.678380300E1,2.676883392E0,-5.050497437E-1,-6.869215393E-1,2.809384477E0
1.679388300E1,3.574416962E0,8.060737610E-1,-6.077362061E-1,3.714236775E0
1.680396300E1,3.548071747E0,1.318308563E0,-7.402107239E-1,3.856768402E0
1.681404300E1,3.375181274E0,1.440753937E0,-4.092489624E-1,3.692574340E0
1.682412300E1,3.282074890E0,1.336121521E0,6.735992432E-3,3.543625499E0
1.683420300E1,3.010838928E0,1.263073425E0,5.126838684E-1,3.305049210E0
1.684428300E1,2.423310699E0,1.063538361E0,7.996371460E-1,2.764591861E0
1.685436300E1,1.637893982E0,6.415658569E-1,4.448748779E-1,1.814446776E0
1.686444300E1,8.960366821E-1,-5.777984619E-2,-2.622546387E-1,9.354131397E-1
1.687452300E1,4.490661621E-1,-1.103804626E0,-7.177574158E-1,1.391122130E0
1.688460300E1,1.886077881E-1,-2.451901245E0,-2.372566223E-1,2.470563361E0
1.689468200E1,-1.766326904E-1,-3.719465332E0,1.548380127E0,4.032753709E0
1.690476200E1,-6.491999817E-1,-5.243895264E0,3.864064636E0,6.546059400E0
1.691484200E1,-1.679208069E0,-7.999215546E0,5.802832947E0,1.002397423E1
1.692492200E1,-5.207371216E0,-1.366822678E1,7.382198639E0,1.638395541E1
1.693500200E1,-1.192674820E1,-2.656750259E1,1.690000626E1,3.367030930E1
1.694508200E1,-1.766611313E1,-4.421714996E1,2.192760132E1,5.242201449E1
1.695516200E1,-2.286225769E1,-6.635835709E1,1.646156799E1,7.209089820E1
1.696524200E1,-2.104578506E1,-7.884778519E1,8.135731659E0,8.201273333E1
1.697532200E1,-8.845106506E0,-6.848528412E1,2.793790283E0,6.911060204E1
1.698540200E1,-1.235231323E0,-3.991404831E1,-2.170935516E0,3.999212435E1
1.699548200E1,2.637066193E0,-2.487407410E1,-2.395019531E-3,2.501347009E1
1.700556200E1,4.865631866E0,-1.697754501E1,4.673281860E0,1.826885250E1
1.701564200E1,5.029840393E0,-1.203332657E1,6.197412415E0,1.443981175E1
1.702572200E1,3.372486877E0,-9.546098785E0,5.102289734E0,1.133732906E1
1.703580200E1,1.183888092E0,-8.837771759E0,3.182082825E0,9.467494483E0
1.704588200E1,-1.172661438E0,-8.769962769E0,1.005309448E0,8.904944070E0
1.705596200E1,-3.326532440E0,-8.225694580E0,-7.026388550E-1,8.900650019E0
1.706604200E1,-3.443738708E0,-6.714886322E0,-1.556613007E0,7.705327940E0
1.707612200E1,-2.593656464E0,-4.254901886E0,-1.732197876E0,5.275580858E0
1.708620200E1,-1.850302277E0,-1.250649261E0,-2.389331360E0,3.270572800E0
1.709628200E1,-1.335522766E0,2.283651123E0,-2.690804443E0,3.773474800E0
1.710636200E1,-1.401984558E0,5.180127869E0,-2.473306732E0,5.909021207E0
1.711644200E1,-1.030906219E0,5.894592133E0,-1.550775146E0,6.181738234E0
1.712652200E1,-9.234297180E-1,5.655389557E0,4.336482239E-1,5.746668971E0
1.713660200E1,-7.286846924E-1,5.040917358E0,2.048490143E0,5.489821587E0
1.714668200E1,-3.397933960E-2,4.874762878E0,1.728904724E0,5.172386225E0
1.715676200E1,1.143621826E0,5.490133209E0,2.941383362E-1,5.615687927E0
1.716684200E1,2.637664948E0,5.302722931E0,-1.174008636E0,6.037751497E0
1.717692100E1,3.835474091E0,4.193828888E0,-1.283580780E0,5.826374676E0
1.718700100E1,4.482279053E0,2.661914520E0,6.020480347E-1,5.247768693E0
1.719708129E1,3.461252289E0,1.313817902E0,1.387913818E0,3.953819628E0
1.720716129E1,1.470841370E0,3.188369751E-1,4.093986511E-1,1.559691831E0
